step,loss,lr,tokens_per_sec,total_tokens,elapsed_min
1590,4.705507,0.00023850,28624,156303360,91.06
1595,4.627442,0.00023925,28624,156794880,91.35
1600,4.655169,0.00024000,28625,157286400,91.63
1605,4.732677,0.00024075,28618,157777920,91.92
1610,4.668535,0.00024150,28627,158269440,92.21
1615,4.696058,0.00024225,28625,158760960,92.49
1620,4.700933,0.00024300,28624,159252480,92.78
1625,4.683415,0.00024375,28622,159744000,93.07
1630,4.663300,0.00024450,28626,160235520,93.35
1635,4.931603,0.00024525,28629,160727040,93.64
1640,4.729873,0.00024600,28627,161218560,93.92
1645,4.667743,0.00024675,28625,161710080,94.21
1650,4.663114,0.00024750,28621,162201600,94.50
1655,4.625662,0.00024825,28620,162693120,94.78
1660,4.711608,0.00024900,28627,163184640,95.07
1665,4.679548,0.00024975,28627,163676160,95.35
1670,4.586612,0.00025050,28623,164167680,95.64
1675,4.694989,0.00025125,28622,164659200,95.93
1680,4.605864,0.00025200,28621,165150720,96.21
1685,4.589501,0.00025275,28617,165642240,96.50
1690,4.621398,0.00025350,28625,166133760,96.79
1695,4.579610,0.00025425,28621,166625280,97.07
1700,4.541545,0.00025500,28614,167116800,97.36
1705,4.601667,0.00025575,28622,167608320,97.64
1710,4.627111,0.00025650,28623,168099840,97.93
1715,4.596811,0.00025725,28624,168591360,98.22
1720,4.619322,0.00025800,28624,169082880,98.50
1725,4.586191,0.00025875,28621,169574400,98.79
1730,4.585386,0.00025950,28626,170065920,99.08
1735,4.637638,0.00026025,28630,170557440,99.36
1740,4.623684,0.00026100,28621,171048960,99.65
1745,4.685612,0.00026175,28626,171540480,99.93
1750,4.577919,0.00026250,28625,172032000,100.22
1755,4.594713,0.00026325,28626,172523520,100.51
1760,4.540489,0.00026400,28629,173015040,100.79
1765,4.630269,0.00026475,28625,173506560,101.08
1770,4.522259,0.00026550,28616,173998080,101.36
1775,4.678589,0.00026625,28643,174489600,101.65
1780,4.696484,0.00026700,28657,174981120,101.94
1785,4.383606,0.00026775,28658,175472640,102.22
1790,4.526162,0.00026850,28657,175964160,102.51
1795,4.575058,0.00026925,28656,176455680,102.79
1800,4.544450,0.00027000,28656,176947200,103.08
1805,4.509593,0.00027075,28657,177438720,103.37
1810,4.554744,0.00027150,28657,177930240,103.65
1815,4.454616,0.00027225,28658,178421760,103.94
1820,4.515171,0.00027300,28658,178913280,104.22
1825,4.581196,0.00027375,28657,179404800,104.51
1830,4.499057,0.00027450,28657,179896320,104.80
1835,4.487405,0.00027525,28657,180387840,105.08
1840,4.449824,0.00027600,28656,180879360,105.37
1845,4.485558,0.00027675,28657,181370880,105.65
1850,4.464128,0.00027750,28648,181862400,105.94
1855,4.435462,0.00027825,28644,182353920,106.22
1860,4.430670,0.00027900,28644,182845440,106.51
1865,4.476372,0.00027975,28645,183336960,106.80
1870,4.502956,0.00028050,28643,183828480,107.08
1875,4.511602,0.00028125,28644,184320000,107.37
1880,4.522835,0.00028200,28642,184811520,107.65
1885,4.383228,0.00028275,28643,185303040,107.94
1890,4.458936,0.00028350,28645,185794560,108.23
1895,4.441507,0.00028425,28645,186286080,108.51
1900,4.448459,0.00028500,28647,186777600,108.80
1905,4.534999,0.00028575,28645,187269120,109.08
1910,4.472233,0.00028650,28645,187760640,109.37
1915,4.484757,0.00028725,28645,188252160,109.66
1920,4.414176,0.00028800,28645,188743680,109.94
1925,4.420806,0.00028875,28645,189235200,110.23
1930,4.453365,0.00028950,28644,189726720,110.51
1935,4.446302,0.00029025,28646,190218240,110.80
1940,4.463022,0.00029100,28645,190709760,111.09
1945,4.415496,0.00029175,28646,191201280,111.37
1950,4.442954,0.00029250,28642,191692800,111.66
1955,4.374963,0.00029325,28645,192184320,111.94
1960,4.417016,0.00029400,28646,192675840,112.23
1965,4.359465,0.00029475,28646,193167360,112.52
1970,4.341256,0.00029550,28646,193658880,112.80
1975,4.406336,0.00029625,28655,194150400,113.09
1980,4.327708,0.00029700,28660,194641920,113.37
1985,4.341666,0.00029775,28660,195133440,113.66
1990,4.333593,0.00029850,28660,195624960,113.95
1995,4.356852,0.00029925,28659,196116480,114.23
2000,4.402904,0.00030000,28659,196608000,114.52
2005,4.305357,0.00030000,27260,197099520,114.82
2010,4.339714,0.00030000,28736,197591040,115.10
2015,4.356927,0.00030000,28739,198082560,115.39
2020,4.347842,0.00030000,28739,198574080,115.67
2025,4.367197,0.00030000,28737,199065600,115.96
2030,4.381453,0.00030000,28738,199557120,116.24
2035,4.338537,0.00030000,28738,200048640,116.53
2040,4.367713,0.00030000,28737,200540160,116.81
2045,4.208839,0.00030000,28738,201031680,117.10
2050,4.382110,0.00030000,28738,201523200,117.38
2055,4.392231,0.00030000,28738,202014720,117.67
2060,4.239782,0.00030000,28739,202506240,117.95
2065,4.260997,0.00030000,28739,202997760,118.24
2070,4.343109,0.00030000,28739,203489280,118.52
2075,4.296561,0.00030000,28738,203980800,118.81
2080,4.314543,0.00030000,28737,204472320,119.09
2085,4.236932,0.00030000,28738,204963840,119.38
2090,4.293493,0.00030000,28739,205455360,119.66
2095,4.193625,0.00030000,28739,205946880,119.95
2100,4.368770,0.00030000,28737,206438400,120.23
2105,4.336169,0.00030000,28739,206929920,120.52
2110,4.313968,0.00030000,28734,207421440,120.80
2115,4.339288,0.00030000,28740,207912960,121.09
2120,4.262651,0.00030000,28739,208404480,121.37
2125,4.246259,0.00030000,28738,208896000,121.66
2130,4.166651,0.00030000,28737,209387520,121.94
2135,4.214373,0.00030000,28739,209879040,122.23
2140,4.274406,0.00030000,28738,210370560,122.51
2145,4.270417,0.00030000,28738,210862080,122.80
2150,4.160867,0.00030000,28738,211353600,123.08
2155,4.210483,0.00030000,28738,211845120,123.37
2160,3.948896,0.00030000,28740,212336640,123.66
2165,4.288703,0.00030000,28738,212828160,123.94
2170,4.244428,0.00030000,28738,213319680,124.23
2175,4.241079,0.00030000,28739,213811200,124.51
2180,4.204491,0.00030000,28739,214302720,124.80
2185,4.226853,0.00030000,28739,214794240,125.08
2190,4.214689,0.00030000,28740,215285760,125.37
2195,4.216255,0.00030000,28740,215777280,125.65
2200,4.202988,0.00030000,28738,216268800,125.94
2205,4.180037,0.00030000,28739,216760320,126.22
2210,4.125653,0.00030000,28739,217251840,126.51
2215,4.198697,0.00030000,28737,217743360,126.79
2220,4.133922,0.00030000,28738,218234880,127.08
2225,4.274198,0.00030000,28739,218726400,127.36
2230,4.158192,0.00030000,28736,219217920,127.65
2235,4.187104,0.00030000,28739,219709440,127.93
2240,4.218680,0.00030000,28738,220200960,128.22
2245,4.212512,0.00030000,28739,220692480,128.50
2250,4.167909,0.00030000,28740,221184000,128.79
2255,4.248550,0.00030000,28738,221675520,129.07
2260,4.164431,0.00030000,28737,222167040,129.36
2265,4.156524,0.00030000,28738,222658560,129.64
2270,4.156380,0.00029999,28739,223150080,129.93
2275,4.066143,0.00029999,28739,223641600,130.21
2280,4.244466,0.00029999,28738,224133120,130.50
2285,4.121645,0.00029999,28740,224624640,130.78
2290,4.229414,0.00029999,28739,225116160,131.07
2295,4.187421,0.00029999,28740,225607680,131.35
2300,4.019338,0.00029999,28742,226099200,131.64
2305,4.103109,0.00029999,28740,226590720,131.92
2310,4.184195,0.00029999,28738,227082240,132.21
2315,4.130286,0.00029999,28739,227573760,132.49
2320,4.153157,0.00029999,28734,228065280,132.78
2325,4.168637,0.00029999,28739,228556800,133.06
2330,4.127623,0.00029999,28739,229048320,133.35
2335,4.077462,0.00029999,28739,229539840,133.63
2340,4.155108,0.00029999,28738,230031360,133.92
2345,4.147332,0.00029999,28740,230522880,134.20
2350,4.203373,0.00029999,28740,231014400,134.49
2355,4.071895,0.00029999,28738,231505920,134.77
2360,4.180600,0.00029999,28739,231997440,135.06
2365,4.079509,0.00029999,28738,232488960,135.34
2370,4.155888,0.00029999,28739,232980480,135.63
2375,4.139823,0.00029999,28736,233472000,135.91
2380,4.087038,0.00029999,28733,233963520,136.20
2385,4.073717,0.00029999,28731,234455040,136.48
2390,4.078495,0.00029999,28735,234946560,136.77
2395,4.159844,0.00029999,28737,235438080,137.05
2400,4.103096,0.00029999,28737,235929600,137.34
2405,4.195827,0.00029999,28734,236421120,137.62
2410,4.128464,0.00029999,28734,236912640,137.91
2415,4.168820,0.00029999,28737,237404160,138.19
2420,4.088017,0.00029999,28735,237895680,138.48
2425,4.070158,0.00029999,28735,238387200,138.76
2430,4.065123,0.00029999,28737,238878720,139.05
2435,4.032128,0.00029999,28738,239370240,139.33
2440,4.080493,0.00029999,28737,239861760,139.62
2445,4.086180,0.00029999,28735,240353280,139.90
2450,4.048552,0.00029999,28735,240844800,140.19
2455,3.762121,0.00029999,28735,241336320,140.47
2460,4.147504,0.00029999,28735,241827840,140.76
2465,4.045377,0.00029999,28735,242319360,141.04
2470,3.967847,0.00029998,28738,242810880,141.33
2475,4.069541,0.00029998,28736,243302400,141.61
2480,3.921883,0.00029998,28739,243793920,141.90
2485,4.102095,0.00029998,28740,244285440,142.18
2490,4.039716,0.00029998,28739,244776960,142.47
2495,4.072618,0.00029998,28739,245268480,142.75
2500,4.041350,0.00029998,28739,245760000,143.04
2505,4.055413,0.00029998,26206,246251520,143.35
2510,4.157304,0.00029998,28739,246743040,143.64
2515,3.975788,0.00029998,28739,247234560,143.92
